ids,violation_type,type,start_at,end_at,status,,,,,,,,,,
2399587,LS,,0.26,0.31,Y,,FSLA-Re,,,,,,,,
2399587,LS,,1.17,1.18,Y,,,,,,,,,,
2399587,Imposter,,1.18,24.08,Y,,,,,,,,,,
1325436,left screen,,5.31,5.35,Y,,,,,,,,,,
1325436,left screen,,7.26,7.41,Y,,,,,,,,,,
1325436,left screen,,11.07,11.25,Y,,,,,,,,,,
1325436,left screen,,17.18,17.33,Y,,,,,,,,,,
1325436,left screen,,19.33,19.35,Y,,,,,,,,,,
1325436,left screen,,30.5,30.52,Y,,,,,,,,,,
1325436,LS,,12.08,12.49,Y,,,,,,,,,,
1325436,LS,,15.34,15.51,Y,,,,,,,,,,
1325436,LS,,18.53,19,Y,,,,,,,,,,
1325436,LS,,20.47,21.22,Y,,,,,,,,,,
1325436,LS,,21.31,25.37,Y,,,,,,,,,,
1325436,FSLA,,16.46,16.55,Y,,,,,,,,,,
1325436,FSLA,,17.08,17.17,Y,,,,,,,,,,
1325436,UPD,,28.51,28.53,Y,,,,,,,,,,
1325436,Imposter,,21.23,21.29,Y,,,,,,,,,,
1325436,BM,,19.1,19.14,Y,,,,,,,,,,
1325436,BA,voice,2.1,2.12,Y,,,,,,,,,,
1325436,BA,voice,2.46,2.52,Y,,,,,,,,,,
1325436,BA,voice,2.56,2.58,Y,,,,,,,,,,
1325436,BA,voice,4.2,4.23,Y,,,,,,,,,,
1325436,BA,voice,8.19,8.22,Y,,,,,,,,,,
1325436,BA,keyboard,11.35,11.37,Y,,,,,,,,,,
1325436,BA,keyboard,11.49,11.52,Y,,,,,,,,,,
1325436,BA,keyboard,11.53,11.55,Y,,,,,,,,,,
1325436,BA,keyboard,14.18,14.2,Y,,,,,,,,,,
1325436,BA,keyboard,14.24,14.26,Y,,,,,,,,,,
1325436,BA,keyboard,14.29,14.31,Y,,,,,,,,,,
2408858,LS,,19.22,19.27,Y,Imposter with MP & BM,,FSLA-Re,,,,,,,
2408858,LS,,32.47,33.49,Y,student is present but face is not visible,,,,,,,,,
2408858,BM,Person,37.44,37.46,Y,,,,,,,,,,
2408858,MP,,37.48,38.28,Y,,,,,,,,,,
2408858,Imposter,,38.29,41.46,Y,,,,,,,,,,
2408858,left screen,,40.34,41.45,Y,,,,,,,,,,
2408858,MP,,41.46,45.38,Y,,,,,,,,,,
2408858,Imposter,,45.38,45.56,Y,,,,,,,,,,
2408858,MP,,45.56,46.04,Y,,,,,,,,,,
2408858,Imposter,,46.04,48,Y,,,,,,,,,,
2408858,MP,,48,48.08,Y,,,,,,,,,,
2408858,Imposter,,48.08,48.46,Y,,,,,,,,,,
2408858,MP,,48.46,48.52,Y,,,,,,,,,,
2408858,Imposter,,48.52,51.09,Y,,,,,,,,,,
2408858,MP,,51.09,51.38,Y,,,,,,,,,,
2408858,BM,Person,51.39,51.46,Y,,,,,,,,,,
2408858,LS,,52.02,52.05,Y,,,,,,,,,,
2408858,UPD,Cellphone,54.51,54.53,Y,,,,,,,,,,
2408858,BM,Person,61.19,61.33,Y,,,,,,,,,,
2408858,UPD,Cellphone,61.22,61.33,Y,,,,,,,,,,
2408858,MP,,64.46,64.54,Y,,,,,,,,,,
2408858,UPD,Cellphone,65.15,65.56,Y,,,,,,,,,,
2408858,UPD,Cellphone,66.06,66.14,Y,,,,,,,,,,
2408858,LS,,71.41,73.21,Y,,,,,,,,,,
2399587,LS,,0.26,0.31,Y,,FSLA-Re,,,,,,,,
2399587,LS,,1.17,1.18,Y,,,,,,,,,,
2399587,Imposter,,1.18,24.08,Y,,,,,,,,,,
1325436,left screen,,5.31,5.35,Y,,,,,,,,,,
1325436,left screen,,7.26,7.41,Y,,,,,,,,,,
1325436,left screen,,11.07,11.25,Y,,,,,,,,,,
1325436,left screen,,17.18,17.33,Y,,,,,,,,,,
1325436,left screen,,19.33,19.35,Y,,,,,,,,,,
1325436,left screen,,30.5,30.52,Y,,,,,,,,,,
1325436,LS,,12.08,12.49,Y,,,,,,,,,,
1325436,LS,,15.34,15.51,Y,,,,,,,,,,
1325436,LS,,18.53,19,Y,,,,,,,,,,
1325436,LS,,20.47,21.22,Y,,,,,,,,,,
1325436,LS,,21.31,25.37,Y,,,,,,,,,,
1325436,FSLA,,16.46,16.55,Y,,,,,,,,,,
1325436,FSLA,,17.08,17.17,Y,,,,,,,,,,
1325436,UPD,,28.51,28.53,Y,,,,,,,,,,
1325436,Imposter,,21.23,21.29,Y,,,,,,,,,,
1325436,BM,,19.1,19.14,Y,,,,,,,,,,
1325436,BA,voice,2.1,2.12,Y,,,,,,,,,,
1325436,BA,voice,2.46,2.52,Y,,,,,,,,,,
1325436,BA,voice,2.56,2.58,Y,,,,,,,,,,
1325436,BA,voice,4.2,4.23,Y,,,,,,,,,,
1325436,BA,voice,8.19,8.22,Y,,,,,,,,,,
1325436,BA,keyboard,11.35,11.37,Y,,,,,,,,,,
1325436,BA,keyboard,11.49,11.52,Y,,,,,,,,,,
1325436,BA,keyboard,11.53,11.55,Y,,,,,,,,,,
1325436,BA,keyboard,14.18,14.2,Y,,,,,,,,,,
1325436,BA,keyboard,14.24,14.26,Y,,,,,,,,,,
1325436,BA,keyboard,14.29,14.31,Y,,,,,,,,,,
2408858,LS,,19.22,19.27,Y,Imposter with MP & BM,,FSLA-Re,,,,,,,
2408858,LS,,32.47,33.49,Y,student is present but face is not visible,,,,,,,,,
2408858,BM,Person,37.44,37.46,Y,,,,,,,,,,
2408858,MP,,37.48,38.28,Y,,,,,,,,,,
2408858,Imposter,,38.29,41.46,Y,,,,,,,,,,
2408858,left screen,,40.34,41.45,Y,,,,,,,,,,
2408858,MP,,41.46,45.38,Y,,,,,,,,,,
2408858,Imposter,,45.38,45.56,Y,,,,,,,,,,
2408858,MP,,45.56,46.04,Y,,,,,,,,,,
2408858,Imposter,,46.04,48,Y,,,,,,,,,,
2408858,MP,,48,48.08,Y,,,,,,,,,,
2408858,Imposter,,48.08,48.46,Y,,,,,,,,,,
2408858,MP,,48.46,48.52,Y,,,,,,,,,,
2408858,Imposter,,48.52,51.09,Y,,,,,,,,,,
2408858,MP,,51.09,51.38,Y,,,,,,,,,,
2408858,BM,Person,51.39,51.46,Y,,,,,,,,,,
2408858,LS,,52.02,52.05,Y,,,,,,,,,,
2408858,UPD,Cellphone,54.51,54.53,Y,,,,,,,,,,
2408858,BM,Person,61.19,61.33,Y,,,,,,,,,,
2408858,UPD,Cellphone,61.22,61.33,Y,,,,,,,,,,
2408858,MP,,64.46,64.54,Y,,,,,,,,,,
2408858,UPD,Cellphone,65.15,65.56,Y,,,,,,,,,,
2408858,UPD,Cellphone,66.06,66.14,Y,,,,,,,,,,
2408858,LS,,71.41,73.21,Y,,,,,,,,,,
2603060,LS,,0.46,1.04,Y,Corrections done,,,,,,,,,
2603060,LS,,1.13,1.37,Y,,,,,,,,,,
2603060,LS,,1.58,2.02,Y,,,,,,,,,,
2603060,LS,,5.34,6.27,Y,,,,,,,,,,
2603060,left screen,,6.3,6.43,Y,,,,,,,,,,
2603060,LS,,6.58,7.07,Y,,,,,,,,,,
2603060,LS,,7.27,7.39,Y,,,,,,,,,,
2603060,LS,,7.44,7.47,Y,,,,,,,,,,
2603060,Imposter,,8.07,8.09,Y,,,,,,,,,,
2603060,LS,,8.25,9.29,Y,,,,,,,,,,
2603060,Imposter,,9.46,9.49,Y,,,,,,,,,,
2603060,Imposter,,10.07,10.11,Y,,,,,,,,,,
2603060,LS,,10.12,10.18,Y,,,,,,,,,,
2603060,LS,,10.23,10.3,Y,,,,,,,,,,
2603060,LS,,10.31,11.09,Y,,,,,,,,,,
2603060,left screen,,11.1,11.2,Y,,,,,,,,,,
2603060,FSLA,,7.48,8.24,Y,,,,,,,,,,
2603060,FSLA,,9.52,10.01,Y,,,,,,,,,,
2603060,FSLA,,10.19,10.23,Y,,,,,,,,,,
1056322,FSLA,,4.42,4.45,Y,,,,,,,,,,
1056322,FSLA,,4.47,4.55,Y,,,,,,,,,,
1056322,FSLA,,5.14,5.28,Y,,,,,,,,,,
1056322,FSLA,,7.12,7.15,Y,,,,,,,,,,
1056322,FSLA,,8.42,8.59,Y,,,,,,,,,,
1056322,FSLA,,9.01,9.15,Y,,,,,,,,,,
1056322,FSLA,,11.49,11.55,Y,,,,,,,,,,
1056322,FSLA,,16.59,17.07,Y,,,,,,,,,,
1056322,FSLA,,19.3,19.38,Y,,,,,,,,,,
1056322,FSLA,,24.58,25.01,Y,,,,,,,,,,
1056322,FSLA,,26.25,26.34,Y,,,,,,,,,,
1056322,left screen,,26.36,26.41,Y,,,,,,,,,,
1056322,left screen,,26.42,26.54,Y,,,,,,,,,,
1056322,left screen,,61.48,61.52,Y,,,,,,,,,,
1056322,left screen,,61.59,62.07,Y,,,,,,,,,,
1056322,left screen,,63.37,63.41,Y,,,,,,,,,,
1056322,Imposter,,28.39,28.42,Y,,,,,,,,,,
1056322,Imposter,,28.49,28.52,Y,,,,,,,,,,
1056322,BA,clutter,34.25,34.28,Y,,,,,,,,,,
1056322,BA,voice,34.18,34.2,Y,,,,,,,,,,
1056322,BA,voice,36.41,36.43,Y,,,,,,,,,,
1056322,BA,voice,37.31,37.35,Y,,,,,,,,,,
1056322,BA,voice,38.04,38.1,Y,,,,,,,,,,
1056322,BA,voice,38.31,38.34,Y,,,,,,,,,,
1056322,BA,voice,38.51,39.1,Y,,,,,,,,,,
1056322,SEM,,3.35,3.4,Y,,,,,,,,,,
2572904,LS,,0.06,0.09,Y,FSLA-Re,,,,,,,,,
2572904,LS,,0.14,0.25,Y,,,,,,,,,,
2572904,Imposter,,18.18,18.39,Y,,,,,,,,,,
2572904,LS,,18.39,19.2,Y,,,,,,,,,,
2572904,LS,,20.03,20.53,Y,,,,,,,,,,
2572904,BM,Person,20.54,20.58,Y,,,,,,,,,,
2572904,MP,,21.27,21.4,Y,,,,,,,,,,
2572904,MP,,22.48,23,Y,,,,,,,,,,
2572904,BM,Person,23.01,23.07,Y,,,,,,,,,,
2572904,MP,,25,25.17,Y,Not sure,,,,,,,,,
2572904,BM,Person,25.18,25.28,Y,,,,,,,,,,
2572904,MP,,25.29,25.33,Y,,,,,,,,,,
2572904,BM,Person,25.34,25.49,Y,,,,,,,,,,
2572904,MP,,26.07,26.36,Y,,,,,,,,,,
2572904,MP,,27.46,27.54,Y,,,,,,,,,,
2572904,BM,Person,29.1,29.23,Y,,,,,,,,,,
2572904,MP,,30.09,30.27,Y,,,,,,,,,,
2572904,BM,Person,30.32,30.35,Y,,,,,,,,,,
2572904,BM,Person,30.59,31.1,Y,,,,,,,,,,
2572904,BM,Person,31.26,31.33,Y,,,,,,,,,,
2572904,MP,,31.38,31.47,Y,,,,,,,,,,
2572904,BM,Person,31.48,32.04,Y,,,,,,,,,,
2572904,MP,,32.09,32.13,Y,,,,,,,,,,
2572904,MP,,32.17,32.28,Y,,,,,,,,,,
2572904,MP,,32.31,32.37,Y,,,,,,,,,,
2572904,BM,Person,32.59,33.04,Y,,,,,,,,,,
2572904,MP,,38.18,39.09,Y,,,,,,,,,,
2572904,LS,,41.27,42.24,Y,,,,,,,,,,
2572904,LS,,42.31,43.57,Y,,,,,,,,,,
2572904,MP,,50.25,50.28,Y,,,,,,,,,,
